"AtomID","path","action","existed","from","to"
"111853_1749724462_1_4032059#1750057928#66500#Wake","How.AssessmentTimeISO","PII inject",TRUE,"2026-02-23T01:00:00+01:00","Josefine Junitz"
"111708_1749217464_1_4032059#1750133688#63574#Wake","How.AssessmentTimeISO","PII inject",TRUE,"2026-02-23T01:00:00+01:00","ستایش فرجی"
"111705_1749224532_1_4032059#1749444905#58278#Wake","When.TimeISO","PII inject",TRUE,"2025-06-09T05:55:05+01:00","نازنین شادروان"
"111854_1750412601_1_4032059#1751611668#8147#Wake","How.ClassificationModelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0/ | https://w3id.org/coel/models/coel/2.0/","Caroline Jockel | Caroline Jockel"
"111707_1749218555_1_4032059#1749968081#60880#Wake","How.EvidenceID","PII inject",TRUE,"111707_1749218555_1_4032059","Anastazja Tywoniuk"
"111854_1750412601_1_4032059#1751340503#7261#Rest","How.AssessmentTimeISO","PII inject",TRUE,"2026-02-23T01:00:00+01:00","سرکار خانم دکتر هانیه اشتری"
"111708_1749217464_1_4032059#1749960517#63461#Wake","What.LabelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0#Wake | https://w3id.org/coel/models/coel/2.0#14.9.3.2","Victor Manuel Portillo Cánovas | Victor Manuel Portillo Cánovas"
"110864_1749729228_1_4032059#1750546977#24294#Rest","When.TimeISO","PII inject",TRUE,"2025-06-22T00:02:57+01:00","Juan Francisco Piñol-Pi"
"111706_1749476168_1_4032059#1750106171#28456#Rest","What.LabelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0#Rest | https://w3id.org/coel/models/coel/2.0#13.1","pan Sebastian Kucewicz | pan Sebastian Kucewicz"
"Marcos Pedrosa Perea","Header","PII inject",TRUE,"2.0 | https://w3id.org/coel/atom/2.0 | 111853_1749724462_1_4032059#1749942354#21696#Rest","Marcos Pedrosa Perea | Marcos Pedrosa Perea | Marcos Pedrosa Perea"
"111710_1749218067_1_4032059#1750118027#22200#Rest","When.TimeISO","PII inject",TRUE,"2025-06-17T00:53:47+01:00","آريا شادروان"
"111705_1749224532_1_4032059#1749966314#55608#Wake","How.ClassificationModelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0/ | https://w3id.org/coel/models/coel/2.0/","آرش هاشمی | آرش هاشمی"
"111707_1749218555_1_4032059#1749853685#32656#Rest","How.EvidenceID","PII inject",TRUE,"111707_1749218555_1_4032059","pan Sebastian Kucewicz"
"111854_1750412601_1_4032059#1751347764#82526#Wake","What.Label","PII inject",TRUE,"Wake | 14.9.3.2","Dipl.-Ing. Kreszentia Weihmann | Dipl.-Ing. Kreszentia Weihmann"
"علي رسولی","Header","PII inject",TRUE,"2.0 | https://w3id.org/coel/atom/2.0 | 111705_1749224532_1_4032059#1749503183#30477#Rest","علي رسولی | علي رسولی | علي رسولی"
"111853_1749724462_1_4032059#1750358101#4711#Wake","When.TimeISO","PII inject",TRUE,"2025-06-19T19:35:01+01:00","Dipl.-Ing. Kreszentia Weihmann"
"111710_1749218067_1_4032059#1749623332#58274#Wake","How.EvidenceID","PII inject",TRUE,"111710_1749218067_1_4032059","آيناز شاکری"
"111707_1749218555_1_4032059#1750028961#26643#Rest","How.AssessmentTimeISO","PII inject",TRUE,"2026-02-23T01:00:00+01:00","Lucía Prado"
"110864_1749729228_1_4032059#1749878760#62624#Wake","Who","PII inject",TRUE,"k(dmkS(sS$!l97kSGV.(","نازنین شادروان"
"111710_1749218067_1_4032059#1749972510#55676#Wake","How.ClassificationModel","PII inject",TRUE,"Rest Activity Model v1.0 | COEL Model v2.0","آرش هاشمی | آرش هاشمی"
"111708_1749217464_1_4032059#1750023978#25151#Rest","What.Label","PII inject",TRUE,"Rest | 13.1","Živilė Stankevičius | Živilė Stankevičius"
"111854_1750412601_1_4032059#1750734985#88311#Wake","What.LabelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0#Wake | https://w3id.org/coel/models/coel/2.0#14.9.3.2","Kipras Kazlauskas | Kipras Kazlauskas"
"111708_1749217464_1_4032059#1749272843#70440#Wake","Who","PII inject",TRUE,"c}K+=)Ds*EkUzysLj2:@","علي رسولی"
"111708_1749217464_1_4032059#1749213875#33606#Wake","How.ClassificationModelIRI","PII inject",TRUE,"https://w3id.org/coel/models/activinsights/rest_activity/1.0/ | https://w3id.org/coel/models/coel/2.0/","آرش هاشمی | آرش هاشمی"
"110864_1749729228_1_4032059#1750461250#20685#Rest","How.AssessmentTimeISO","PII inject",TRUE,"2026-02-23T01:00:00+01:00","Jankauskas, Saulius"
"111708_1749217464_1_4032059#1750295997#72911#Wake","When.TimeISO","PII inject",TRUE,"2025-06-19T02:19:57+01:00","یسنا شاکری"
"111710_1749218067_1_4032059#1749447945#63039#Wake","Who","PII inject",TRUE,"}[-t$EFb&)nvn-VQ#)P6","Clara Aznar-Gómez"
